Область,Місто/Район,Значення
Івано-Франківська,Коломийський р-н,288
Івано-Франківська,Галицький район,376
Івано-Франківська,Івано-Франківськ,409
Івано-Франківська,Тисменицький р-н,424
Івано-Франківська,Богородчанський р-н,463
Івано-Франківська,Рогатинський р-н,517
Івано-Франківська,Снятинський р-н,527
Івано-Франківська,Надвірнянський р-н,710
Івано-Франківська,Городенківський р-н,830
Івано-Франківська,Коломийський р-н,842
Івано-Франківська,Тлумацький р-н,952
Івано-Франківська,Косівський р-н,959
Вінницька,Калинівський р-н,172
Вінницька,Теплицький р-н,232
Вінницька,Жмеринський р-н,234
Вінницька,Тростянецький р-н,248
Вінницька,Оратівський р-н,272
Вінницька,Томашпільський р-н,277
Вінницька,Барський р-н,281
Вінницька,Козятинський р-н,418
Вінницька,Вінницький р-н,425
Вінницька,Чечельницький р-н,449
Вінницька,Чернівецький р-н,454
Вінницька,Жмеринка,462
Вінницька,Погребищенський р-н,502
Вінницька,м.Вінниця,577
Вінницька,Гайсинський р-н,601
Вінницька,Тульчинський р-н,613
Вінницька,Тиврівський р-н,615
Вінницька,Шаргородський р-н,646
Вінницька,Іллінецький р-н,694
Вінницька,Крижопільський р-н,740
Вінницька,м.Могилів-Подільський,780
Вінницька,Літинський р-н,802
Вінницька,Ямпільський р-н,815
Вінницька,Мурованокуриловецький р-н,825
Вінницька,Немирівський р-н,877
Вінницька,Могилів-Подільський р-н,882
Вінницька,Хмільницький р-н,882
Вінницька,Липовецький р-н,959
Вінницька,Бершадський р-н,972
Волинська,Ковельський р-н,1
Волинська,Ратнівський р-н,14
Волинська,Володимир-Волинський,55
Волинська,Маневицький р-н,59
Волинська,Горохівський р-н,121
Волинська,м.Луцьк,124
Волинська,Любомльський р-н,212
Волинська,Володимир-Волинський р-н,285
Волинська,Ковель,349
Волинська,Турійський р-н,373
Волинська,Старовижівський р-н,391
Волинська,Камінь-Каширський р-н,527
Волинська,Нововолинськ,537
Волинська,Шацький р-н,549
Волинська,Любешівський р-н,583
Волинська,Іваничівський р-н,640
Волинська,Ківерцівський р-н,641
Волинська,Рожищенський р-н,725
Волинська,Луцький р-н,763
Волинська,Локачинський р-н,993
Дніпропетровська,Петропавлівський р-н,2
Дніпропетровська,Новомосковський р-н,37
Дніпропетровська,Томаківський р-н,62
Дніпропетровська,Верхньодніпровський р-н,88
Дніпропетровська,Солонянський р-н,139
Дніпропетровська,м.Першотравенськ,140
Дніпропетровська,Криничанський р-н,181
Дніпропетровська,м.Кам'янське,246
Дніпропетровська,Дніпровський р-н,257
Дніпропетровська,Софіївський р-н,257
Дніпропетровська,Нікопольський р-н,280
Дніпропетровська,Синельникове,282
Дніпропетровська,м.Нікополь,319
Дніпропетровська,Апостолівський р-н,413
Дніпропетровська,Межівський р-н,453
Дніпропетровська,м.Павлоград,476
Дніпропетровська,Жовті Води,562
Дніпропетровська,Юр'ївський р-н,679
Дніпропетровська,Царичанський р-н,713
Дніпропетровська,П'ятихатський р-н,733
Дніпропетровська,Магдалинівський р-н,735
Дніпропетровська,Павлоградський р-н,759
Дніпропетровська,Криворізький р-н,763
Дніпропетровська,Покровський р-н,786
Дніпропетровська,Петриківський р-н,817
Дніпропетровська,м.Кривий Ріг,840
Дніпропетровська,Широківський р-н,869
Дніпропетровська,Синельниківський р-н,890
Дніпропетровська,м.Дніпро,962
Донецька,м.Макіївка,32
Донецька,м.Краматорськ,36
Донецька,м.Харцизьк,54
Донецька,Торез,69
Донецька,Ясинувата,74
Донецька,Селидове,126
Донецька,Новоазовський р-н,155
Донецька,Шахтарський р-н,161
Донецька,Слов'янський р-н,200
Донецька,Тельманівський р-н,226
Донецька,м.Маріуполь,271
Донецька,Бахмутський р-н,309
Донецька,м.Донецьк,384
Донецька,м.Горлівка,393
Донецька,м.Сніжне,415
Донецька,Старобешівський р-н,496
Донецька,м.Покровськ,500
Донецька,Амвросіївський р-н,566
Донецька,Докучаєвськ,601
Донецька,Покровський р-н,663
Донецька,Авдіївка,705
Донецька,м.Слов'янськ-Куп'янськ,729
Донецька,Лиманський р-н,758
Донецька,Великоновосілківський р-н,762
Донецька,Добропільський р-н,775
Донецька,м.Шахтарськ,779
Донецька,м.Єнакієве,831
Донецька,Першотравневий р-н,843
Донецька,Волноваський р-н,870
Донецька,Мар'їнський р-н,872
Донецька,Ясинуватський р-н,942
Донецька,Костянтинівський р-н,975
Донецька,м.Лиман,978
Житомирська,Попільнянський р-н,28
Житомирська,Бердичівський р-н,68
Житомирська,Коростишівський р-н,140
Житомирська,Олевський р-н,298
Житомирська,Володарсько-Волинський р-н,313
Житомирська,Брусилівський р-н,322
Житомирська,Любарський р-н,340
Житомирська,Житомирський р-н,354
Житомирська,Червоноармійський р-н,367
Житомирська,Малинський р-н,400
Житомирська,м.Житомир,454
Житомирська,Ружинський р-н,469
Житомирська,Чуднівський р-н,586
Житомирська,Новоград-Волинський р-н,620
Житомирська,Коростенський р-н,653
Житомирська,Баранівський р-н,728
Житомирська,Овруцький р-н,751
Житомирська,Народицький р-н,853
Житомирська,Лугинський р-н,862
Житомирська,Черняхівський р-н,873
Житомирська,Радомишльський р-н,884
Житомирська,Дзержинський р-н,885
Житомирська,Андрушівський р-н,905
